gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,description,Regulation
ENSMUSG00000006526,212.3420123,-0.476587988,0.291171767,-1.636793266,0.101673673,0.53837792,Stimate,STIM activating enhancer [Source:MGI Symbol;Acc:MGI:1921500],Not Significant
ENSMUSG00000038801,303.7034478,-0.669535341,0.409103867,-1.636590106,0.101716144,0.538430071,Scgb1c1,"secretoglobin, family 1C, member 1 [Source:MGI Symbol;Acc:MGI:2655401]",Not Significant
ENSMUSG00000025034,792.7602767,0.408852297,0.249851304,1.636382483,0.101759563,0.538487203,Trim8,tripartite motif-containing 8 [Source:MGI Symbol;Acc:MGI:1933302],Not Significant
ENSMUSG00000039114,40.46106501,-0.786713751,0.480825825,-1.636171996,0.101803596,0.538492143,Nrn1,neuritin 1 [Source:MGI Symbol;Acc:MGI:1915654],Not Significant
ENSMUSG00000013997,340.5633252,0.479929144,0.293343365,1.636066127,0.101825748,0.538492143,Nit1,nitrilase 1 [Source:MGI Symbol;Acc:MGI:1350916],Not Significant
ENSMUSG00000003873,570.5157078,0.802561817,0.490630498,1.635776456,0.101886381,0.538539893,Bax,BCL2-associated X protein [Source:MGI Symbol;Acc:MGI:99702],Not Significant
ENSMUSG00000032656,85.36152369,-0.436593389,0.266913485,-1.635711242,0.101900035,0.538539893,Marchf3,membrane associated ring-CH-type finger 3 [Source:MGI Symbol;Acc:MGI:2443667],Not Significant
ENSMUSG00000001440,2381.914744,0.325545572,0.199067452,1.635353084,0.101975052,0.538556955,Kpnb1,karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532],Not Significant
ENSMUSG00000085272,58.782574,-0.620162958,0.379247612,-1.635245518,0.10199759,0.538556955,Sbk3,"SH3 domain binding kinase family, member 3 [Source:MGI Symbol;Acc:MGI:2685924]",Not Significant
ENSMUSG00000031980,100.4936469,-1.10251607,0.674227524,-1.63522851,0.102001154,0.538556955,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:MGI Symbol;Acc:MGI:87963]",Not Significant
ENSMUSG00000042846,9.845517481,-1.394653876,0.853196644,-1.634621849,0.102128345,0.538889242,Lrrtm3,leucine rich repeat transmembrane neuronal 3 [Source:MGI Symbol;Acc:MGI:2389177],Not Significant
ENSMUSG00000052821,76.17733229,1.03426168,0.632724583,1.634615926,0.102129587,0.538889242,Cysltr1,cysteinyl leukotriene receptor 1 [Source:MGI Symbol;Acc:MGI:1926218],Not Significant
ENSMUSG00000049411,46.68736556,-0.552889432,0.33827014,-1.634461242,0.102162038,0.538889242,Tmem241,transmembrane protein 241 [Source:MGI Symbol;Acc:MGI:2442435],Not Significant
ENSMUSG00000102577,9.757171423,-1.283657648,0.785609637,-1.633963723,0.102266468,0.539260817,Gm37969,"predicted gene, 37969 [Source:MGI Symbol;Acc:MGI:5611197]",Not Significant
ENSMUSG00000097820,83.67516821,-0.458199085,0.280447451,-1.633814408,0.102297826,0.539260817,E530011L22Rik,RIKEN cDNA E530011L22 gene [Source:MGI Symbol;Acc:MGI:2443770],Not Significant
ENSMUSG00000028792,1115.333455,0.576755021,0.353147849,1.633182878,0.10243054,0.539307887,Ak2,adenylate kinase 2 [Source:MGI Symbol;Acc:MGI:87978],Not Significant
ENSMUSG00000020728,54.46417681,-0.629601388,0.385507599,-1.633175038,0.102432188,0.539307887,Cep112,centrosomal protein 112 [Source:MGI Symbol;Acc:MGI:1923673],Not Significant
ENSMUSG00000107211,190.9544515,0.408187537,0.24994035,1.633139818,0.102439594,0.539307887,Gm5864,predicted gene 5864 [Source:MGI Symbol;Acc:MGI:3648579],Not Significant
ENSMUSG00000031669,50.56968136,0.836946629,0.51253537,1.632953895,0.102478694,0.539307887,Gins3,GINS complex subunit 3 (Psf3 homolog) [Source:MGI Symbol;Acc:MGI:1926083],Not Significant
ENSMUSG00000044339,42.2621753,0.935858004,0.573115945,1.632929622,0.102483799,0.539307887,Alkbh2,"alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:2141032]",Not Significant
ENSMUSG00000024056,31.72253659,1.412230514,0.864892552,1.632839259,0.102502808,0.539307887,Ndc80,NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914302],Not Significant
ENSMUSG00000098893,54.03439505,-0.630491518,0.386280574,-1.6322113,0.102634981,0.539703336,Gm17828,"predicted gene, 17828 [Source:MGI Symbol;Acc:MGI:5010013]",Not Significant
ENSMUSG00000087474,18.45710488,-1.377236144,0.843806035,-1.63217148,0.102643367,0.539703336,Gm12100,predicted gene 12100 [Source:MGI Symbol;Acc:MGI:3651586],Not Significant
ENSMUSG00000024330,222.4276937,0.675129031,0.413821766,1.63144882,0.102795651,0.54019295,Col11a2,"collagen, type XI, alpha 2 [Source:MGI Symbol;Acc:MGI:88447]",Not Significant
ENSMUSG00000035199,2215.476437,0.347055312,0.212732177,1.631418983,0.102801942,0.54019295,Arl6ip5,ADP-ribosylation factor-like 6 interacting protein 5 [Source:MGI Symbol;Acc:MGI:1929501],Not Significant
ENSMUSG00000071537,9.520095924,1.075569755,0.659785846,1.630180099,0.103063439,0.541060785,Klrg2,"killer cell lectin-like receptor subfamily G, member 2 [Source:MGI Symbol;Acc:MGI:1921503]",Not Significant
ENSMUSG00000078087,12.81290768,1.394918297,0.855755785,1.630042498,0.103092515,0.541060785,Rps12l1,ribosomal protein S12-like 1 [Source:MGI Symbol;Acc:MGI:3783241],Not Significant
ENSMUSG00000042821,117.1911507,1.128268308,0.692228147,1.629908163,0.103120908,0.541060785,Snai1,snail family zinc finger 1 [Source:MGI Symbol;Acc:MGI:98330],Not Significant
ENSMUSG00000119584,456.600765,0.798662857,0.490013826,1.629878209,0.10312724,0.541060785,Rn18s-rs5,"18s RNA, related sequence 5 [Source:MGI Symbol;Acc:MGI:107222]",Not Significant
ENSMUSG00000037278,97.92257247,0.928036806,0.569396499,1.629860401,0.103131004,0.541060785,Tmem97,transmembrane protein 97 [Source:MGI Symbol;Acc:MGI:1916321],Not Significant
ENSMUSG00000050088,358.9382957,0.446104768,0.273871364,1.628884308,0.103337513,0.541971924,1600012H06Rik,RIKEN cDNA 1600012H06 gene [Source:MGI Symbol;Acc:MGI:1915162],Not Significant
ENSMUSG00000097585,24.40619125,1.18119899,0.725249846,1.628678718,0.10338105,0.542028029,E230029C05Rik,RIKEN cDNA E230029C05 gene [Source:MGI Symbol;Acc:MGI:2442580],Not Significant
ENSMUSG00000026113,474.5791511,0.345255305,0.212139123,1.627494728,0.103632067,0.543171569,Inpp4a,"inositol polyphosphate-4-phosphatase, type I [Source:MGI Symbol;Acc:MGI:1931123]",Not Significant
ENSMUSG00000049287,549.7549024,-0.675644896,0.415357518,-1.626658639,0.103809618,0.543929442,Iba57,"IBA57 homolog, iron-sulfur cluster assembly [Source:MGI Symbol;Acc:MGI:3041174]",Not Significant
ENSMUSG00000026116,802.4041273,-0.370103031,0.227652658,-1.625735604,0.104005912,0.544488655,Tmem131,transmembrane protein 131 [Source:MGI Symbol;Acc:MGI:1927110],Not Significant
ENSMUSG00000024251,131.1988727,-0.417698088,0.256935347,-1.625693363,0.104014903,0.544488655,Thada,thyroid adenoma associated [Source:MGI Symbol;Acc:MGI:3039623],Not Significant
ENSMUSG00000038530,416.577098,-0.50788634,0.312412508,-1.625691438,0.104015312,0.544488655,Rgs4,regulator of G-protein signaling 4 [Source:MGI Symbol;Acc:MGI:108409],Not Significant
ENSMUSG00000113137,14.24567398,0.96170694,0.591631293,1.625517363,0.104052367,0.544509931,Gm7511,predicted gene 7511 [Source:MGI Symbol;Acc:MGI:3646392],Not Significant
ENSMUSG00000031641,618.1559319,-0.455734892,0.280506153,-1.624687681,0.104229123,0.545262023,Cbr4,carbonyl reductase 4 [Source:MGI Symbol;Acc:MGI:2384567],Not Significant
ENSMUSG00000025372,237.3798847,0.363671756,0.223883808,1.62437721,0.104295328,0.54527602,Baiap2,brain-specific angiogenesis inhibitor 1-associated protein 2 [Source:MGI Symbol;Acc:MGI:2137336],Not Significant
ENSMUSG00000043635,43.23957574,-0.625026348,0.384807552,-1.624256966,0.104320977,0.54527602,Adamts3,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3 [Source:MGI Symbol;Acc:MGI:3045353]",Not Significant
ENSMUSG00000007892,8664.362805,0.588748526,0.362522388,1.624033563,0.104368646,0.54527602,Rplp1,"ribosomal protein, large, P1 [Source:MGI Symbol;Acc:MGI:1927099]",Not Significant
ENSMUSG00000034773,12.12678541,1.372853417,0.845431989,1.623848441,0.104408159,0.54527602,Hrob,homologous recombination factor with OB-fold [Source:MGI Symbol;Acc:MGI:2387601],Not Significant
ENSMUSG00000025264,212.0262631,0.436114181,0.268589754,1.623718606,0.104435878,0.54527602,Tsr2,TSR2 20S rRNA accumulation [Source:MGI Symbol;Acc:MGI:1916749],Not Significant
ENSMUSG00000036943,437.3263493,0.775280366,0.477511386,1.623585088,0.10446439,0.54527602,Rab8b,"RAB8B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442982]",Not Significant
ENSMUSG00000029036,949.1052414,-0.300177484,0.184889275,-1.623552714,0.104471304,0.54527602,Atad3a,"ATPase family, AAA domain containing 3A [Source:MGI Symbol;Acc:MGI:1919214]",Not Significant
ENSMUSG00000049086,260.9473976,0.373135827,0.22984317,1.623436651,0.104496095,0.54527602,Bmyc,brain expressed myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:88184],Not Significant
ENSMUSG00000048329,16.65857738,1.337922515,0.824220168,1.623258647,0.104534126,0.545302068,Mfsd6l,major facilitator superfamily domain containing 6-like [Source:MGI Symbol;Acc:MGI:2384904],Not Significant
ENSMUSG00000028597,292.4953846,1.001472163,0.617042225,1.623020473,0.104585029,0.545378741,Gpx7,glutathione peroxidase 7 [Source:MGI Symbol;Acc:MGI:1914555],Not Significant
ENSMUSG00000027079,119.3369622,0.527535099,0.325087327,1.622748889,0.104643096,0.545378741,Clp1,"CLP1, cleavage and polyadenylation factor I subunit [Source:MGI Symbol;Acc:MGI:2138968]",Not Significant
ENSMUSG00000037578,5.424102138,-1.833891211,1.130197213,-1.622629387,0.104668654,0.545378741,Pkd2l1,polycystic kidney disease 2-like 1 [Source:MGI Symbol;Acc:MGI:1352448],Not Significant
ENSMUSG00000031530,26.98877464,-0.904809517,0.557656415,-1.622521488,0.104691736,0.545378741,Dusp4,dual specificity phosphatase 4 [Source:MGI Symbol;Acc:MGI:2442191],Not Significant
ENSMUSG00000006333,6285.418233,0.418112272,0.257709461,1.622417241,0.10471404,0.545378741,Rps9,ribosomal protein S9 [Source:MGI Symbol;Acc:MGI:1924096],Not Significant
ENSMUSG00000044393,845.0114012,-0.43365914,0.267475551,-1.62130385,0.10495249,0.546367496,Dsg2,desmoglein 2 [Source:MGI Symbol;Acc:MGI:1196466],Not Significant
ENSMUSG00000014232,220.6631255,-0.3146908,0.194107191,-1.621221751,0.10497009,0.546367496,Cluap1,clusterin associated protein 1 [Source:MGI Symbol;Acc:MGI:1924029],Not Significant
ENSMUSG00000034218,92.45723736,-0.484523179,0.298903904,-1.620999834,0.105017674,0.546442848,Atm,ataxia telangiectasia mutated [Source:MGI Symbol;Acc:MGI:107202],Not Significant
ENSMUSG00000092072,229.2160841,0.572227179,0.353181099,1.620208955,0.105187398,0.547041736,Gm4540,predicted gene 4540 [Source:MGI Symbol;Acc:MGI:3782724],Not Significant
ENSMUSG00000057789,372.9013088,0.880611969,0.543535746,1.620154656,0.105199059,0.547041736,Bak1,BCL2-antagonist/killer 1 [Source:MGI Symbol;Acc:MGI:1097161],Not Significant
ENSMUSG00000032092,59.62454601,1.036346897,0.63980239,1.619792162,0.10527693,0.547274248,Mpzl2,myelin protein zero-like 2 [Source:MGI Symbol;Acc:MGI:1289160],Not Significant
ENSMUSG00000003154,776.9454457,-0.303956966,0.187692633,-1.61944004,0.105352618,0.547367787,Foxj2,forkhead box J2 [Source:MGI Symbol;Acc:MGI:1926805],Not Significant
ENSMUSG00000034563,320.2270344,-0.410199537,0.253303425,-1.619399884,0.105361252,0.547367787,Ccpg1,cell cycle progression 1 [Source:MGI Symbol;Acc:MGI:1196419],Not Significant
ENSMUSG00000018820,349.9715308,-0.415455791,0.256596387,-1.619102261,0.105425262,0.547420666,Zfyve27,"zinc finger, FYVE domain containing 27 [Source:MGI Symbol;Acc:MGI:1919602]",Not Significant
ENSMUSG00000106087,22.95557636,-1.161377586,0.717325735,-1.619037947,0.105439099,0.547420666,Gm43609,predicted gene 43609 [Source:MGI Symbol;Acc:MGI:5663746],Not Significant
ENSMUSG00000022367,28.0791261,1.282194264,0.792055657,1.61881839,0.105486344,0.547420666,Has2,hyaluronan synthase 2 [Source:MGI Symbol;Acc:MGI:107821],Not Significant
ENSMUSG00000025503,1680.125101,0.336694519,0.207998425,1.618735905,0.105504098,0.547420666,Taldo1,transaldolase 1 [Source:MGI Symbol;Acc:MGI:1274789],Not Significant
ENSMUSG00000040234,375.7967311,-0.305984491,0.189112963,-1.617998504,0.10566292,0.548042844,Tm7sf3,transmembrane 7 superfamily member 3 [Source:MGI Symbol;Acc:MGI:1914873],Not Significant
ENSMUSG00000004846,1088.495955,0.492538947,0.304489462,1.617589468,0.1057511,0.548042844,Plod3,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3 [Source:MGI Symbol;Acc:MGI:1347008]",Not Significant
ENSMUSG00000025375,225.7851051,-0.406708349,0.251473983,-1.617297918,0.105813989,0.548042844,Aatk,apoptosis-associated tyrosine kinase [Source:MGI Symbol;Acc:MGI:1197518],Not Significant
ENSMUSG00000066068,555.5946802,0.618689835,0.382594241,1.617091344,0.105858565,0.548042844,Gm13611,predicted gene 13611 [Source:MGI Symbol;Acc:MGI:3651300],Not Significant
ENSMUSG00000024539,247.629978,0.685348581,0.423825509,1.617053639,0.105866703,0.548042844,Ptpn2,"protein tyrosine phosphatase, non-receptor type 2 [Source:MGI Symbol;Acc:MGI:97806]",Not Significant
ENSMUSG00000082064,133.0197022,0.496037951,0.306782828,1.616902596,0.105899308,0.548042844,Rpl5-ps2,"ribisomal protein L5, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3649355]",Not Significant
ENSMUSG00000030762,61.25938025,-0.730981928,0.452090872,-1.616891587,0.105901685,0.548042844,Aqp8,aquaporin 8 [Source:MGI Symbol;Acc:MGI:1195271],Not Significant
ENSMUSG00000079164,17.29719259,1.058527203,0.654709753,1.616788506,0.105923941,0.548042844,Tlr5,toll-like receptor 5 [Source:MGI Symbol;Acc:MGI:1858171],Not Significant
ENSMUSG00000020186,538.6601016,0.830861877,0.513905249,1.616760831,0.105929917,0.548042844,Csrp2,cysteine and glycine-rich protein 2 [Source:MGI Symbol;Acc:MGI:1202907],Not Significant
ENSMUSG00000031497,61.1918201,1.401130952,0.866693346,1.616639794,0.105956057,0.548042844,Tnfsf13b,"tumor necrosis factor (ligand) superfamily, member 13b [Source:MGI Symbol;Acc:MGI:1344376]",Not Significant
ENSMUSG00000064307,43.15023304,0.58190328,0.360039228,1.616221889,0.106046348,0.548338024,Lrrc51,leucine rich repeat containing 51 [Source:MGI Symbol;Acc:MGI:1916608],Not Significant
ENSMUSG00000026749,252.8249293,1.234902753,0.764171005,1.616003152,0.106093632,0.548410709,Nek6,NIMA (never in mitosis gene a)-related expressed kinase 6 [Source:MGI Symbol;Acc:MGI:1891638],Not Significant
ENSMUSG00000063382,464.8561895,-0.45605527,0.282378583,-1.615049075,0.106300068,0.548982667,Bcl9l,B cell CLL/lymphoma 9-like [Source:MGI Symbol;Acc:MGI:1933114],Not Significant
